object_id,object_uri,title,description,image_uri
654e41a145a17789239097,https://muzeumcyfrowe.mnwr.pl/obiekt/swiety-piotr-meczennik,Święty Piotr Męczennik,"Spinello di Luca, zwany Spinello Aretino, 1385-1390",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e41a145a17789239097.jpg
654e41a27e41a826556571,https://muzeumcyfrowe.mnwr.pl/obiekt/swieta-katarzyna,Święta Katarzyna,"Spinello di Luca, zwany Spinello Aretino, 1385-1390",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e41a27e41a826556571.jpg
654e419ddcf89543508045,https://muzeumcyfrowe.mnwr.pl/obiekt/swieta-malgorzata,Święta Małgorzata,"Spinello di Luca, zwany Spinello Aretino, 1385-1390",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e419ddcf89543508045.jpg
654e419f233d0742321814,https://muzeumcyfrowe.mnwr.pl/obiekt/swieta-maria-magdalena,Święta Maria Magdalena,"Spinello di Luca, zwany Spinello Aretino, 1385-1390",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e419f233d0742321814.jpg
654e40a26431a649721503,https://muzeumcyfrowe.mnwr.pl/obiekt/swiety-pawel,Święty Paweł,"Schiavo, Paolo, lata 30. XV w.",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e40a26431a649721503.jpg
654e40a316f5b783391981,https://muzeumcyfrowe.mnwr.pl/obiekt/swiety-piotr,Święty Piotr,"Schiavo, Paolo, 1436",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e40a316f5b783391981.jpg
654e41578242a537423553,https://muzeumcyfrowe.mnwr.pl/obiekt/adoracja-dzieciatka-jezus-przez-matke-boska,Adoracja Dzieciątka Jezus przez Matkę Boską,"Rosselli, Cosimo, 1485",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e41578242a537423553.jpg
654e41a3aa4d6289183633,https://muzeumcyfrowe.mnwr.pl/obiekt/adoracja-ukrzyzowanego-chrystusa-przez-swietych-hieronima-i-marie-magdalene,Adoracja ukrzyżowanego Chrystusa przez świętych Hieronima i Marię Magdalenę,"Signorelli, Luca d'Egidio, ok. 1485",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e41a3aa4d6289183633.jpg
654e41a4b35bd062860986,https://muzeumcyfrowe.mnwr.pl/obiekt/oplakiwanie-chrystusa,Opłakiwanie Chrystusa,"Santi, Giovanni, 1484-1489",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e41a4b35bd062860986.jpg
654e40a40aeb8812761239,https://muzeumcyfrowe.mnwr.pl/obiekt/madonna-z-dzieciatkiem-i-szczyglem,Madonna z Dzieciątkiem i szczygłem,"Malatesta, Leonardo di Francesco di Lazzaro, ok. 1505",https://muzeumcyfrowe.mnwr.pl/uploads/thumbs/654e40a40aeb8812761239.jpg
