"website","http_status","date_checked"
"http://muzeummydla.pl",200,2024-03-31
"http://www.muzeum-szreniawa.pl/?q=pl/node/78",200,2024-03-31
"http://www.muzeum.przemysl.pl/",200,2024-03-31
"http://www.muzeumrowerow.pl/",200,2024-03-31
"http://www.muzeumnurkowania.pl/",500,2024-03-31
"http://www.muzeum.zagan.pl/",200,2024-03-31
"http://www.ogrod.uj.edu.pl/index.php?option=18&action=articles_show&art_id=352&menu_id=220&page=285&lang=pl",404,2024-03-31
"http://www.archiwum.karmelici.pl/",200,2024-03-31
"http://www.muzeumwkaliszu.pl",200,2024-03-31
"http://www.muzeum.sacz.pl/",200,2024-03-31
"http://www.muzeum.bydgoszcz.pl/",200,2024-03-31
"http://www.muzeum.rzeszow.pl",200,2024-03-31
"https://www.muzeum.torun.pl/",200,2024-03-31
"http://www.binoz.uj.edu.pl/index.php?idz=ib_muzeum",404,2024-03-31
"http://muzeumoswiaty.cba.pl/index.html/",202,2024-03-31
"http://muzeumpgr.prv.pl/",200,2024-03-31
"https://muzeum.grebocin.pl/",200,2024-03-31
"http://www.muzeum.wroclaw.pl/",200,2024-03-31
"http://www.muzeum.krosno.pl/",200,2024-03-31
"http://www.muzeum.bialystok.pl/",200,2024-03-31
"http://muzeum.torun.pl/strona-33-muzeum_podroznikow_im_tony_ego_halika.html",404,2024-03-31
"http://www.muzeumwlodawa.eu",200,2024-03-31
"http://muzeumulmow.pl",200,2024-03-31
"http://www.muzeumpw.com.pl/",NA,2024-03-31
"http://www.muzeumsztukiludowej.otrebusy.pl",503,2024-03-31
"https://www.muzeumgalowice.pl/",200,2024-03-31
"http://www.wmn.poznan.pl/odwiedz-nas/muzeum-powstania-wielkopolskiego-1918-1919/",200,2024-03-31
"http://www.wmn.poznan.pl/odwiedz-nas/muzeum-powstania-poznanskiego-czerwiec-1956/",200,2024-03-31
"http://www.muzeumbiala.pl",200,2024-03-31
"http://www.umig.olkusz.pl/index.php?option=com_content&view=article&id=4712&Itemid=333&lang=pl",200,2024-03-31
"http://www.muzeumsiedlce.art.pl/pl/site/490/493/495/muzeum.pozarnictwa.w.kotuniu.html",404,2024-03-31
"http://www.muzeumprasy.pl/",200,2024-03-31
"http://www.muzeumtechniki.pl",200,2024-03-31
"http://www.zapalki.pl",404,2024-03-31
"http://www.zapalki.pl",404,2024-03-31
"http://www.starakopalnia.pl",404,2024-03-31
"http://www.kpnmab.pl/pl/muzeum-przyrodnicze-kpn,114",404,2024-03-31
"http://www.wolinpn.pl/html/muzeum/galeriamuzeum.html",404,2024-03-31
"http://muzeum.ciezkowice.pl",200,2024-03-31
"http://przyroda.muzeum.olsztyn.pl",200,2024-03-31
"http://www.muzeum.4lomza.pl/",200,2024-03-31
"http://muzeum.drezdenko.pl/",NA,2024-03-31
"http://www.muzeumratownictwa.pl/",NA,2024-03-31
"http://www.mikolajki.luteranie.pl/p5,muzeum_reformacji.html",404,2024-03-31
"http://muzeum.miechow.net/index.html",NA,2024-03-31
"http://www.rabkoland.pl/main/muzeum_rekordow_i_osobliwosci.html",404,2024-03-31
"http://www.muzea-wolsztyn.com.pl/www/index.php?option=com_content&task=view&id=3&Itemid=4",404,2024-03-31
"http://palac-sztuki.krakow.pl/muzea/willa-estreichera/",200,2024-03-31
"http://www.muzeumniechorze.pl/",200,2024-03-31
"https://muzeum.swi.pl/",200,2024-03-31
"https://muzeum.swi.pl/",200,2024-03-31
"http://www.muzeum-swinoujscie.pl",200,2024-03-31
"http://www.muzeum-swinoujscie.pl",200,2024-03-31
"https://muzeum.swi.pl/",200,2024-03-31
"https://muzeum.swi.pl/",200,2024-03-31
"http://www.muzeum-swinoujscie.pl",200,2024-03-31
"http://www.muzeum-swinoujscie.pl",200,2024-03-31
"http://www.rzemieslnicywawa.pl/index.php/muzeum",404,2024-03-31
"http://muzeum.bialystok.pl/muzeum-rzezby-alfonsa-karnego/",200,2024-03-31
"http://muzeumsp.pl/",200,2024-03-31
"http://restauracjaklemens.pl/",200,2024-03-31
"http://www.muzeum.soleckujawski.pl/",200,2024-03-31
"https://www.osir.olsztyn.pl/pl/osir/obiekty/1715-muzeum-sportu",200,2024-03-31
"http://www.muzeumziebice.pl",200,2024-03-31
"http://micet.pl/pl/",200,2024-03-31
"http://www.mshm.pl/",200,2024-03-31
"http://www.stutthof.org",200,2024-03-31
"http://www.mnp.art.pl/oddzialy/muzeum-sztuk-uzytkowych/",200,2024-03-31
"https://teatrwielki.pl/dzialalnosc/muzeum-teatralne/",200,2024-03-31
"http://www.muzeum-kolo.pl",200,2024-03-31
"http://www.mtwzabrze.pl/",200,2024-03-31
"http://de.muzeumtechniki.eu/",200,2024-03-31
"http://en.muzeumtechniki.eu/",200,2024-03-31
"http://www.muzeumtechniki.eu",200,2024-03-31
"http://jezuici.pl/muzeum/",200,2024-03-31
"http://www.muzeum.umk.pl",200,2024-03-31
"http://mng.gda.pl/oddzialy/muzeum-tradycji-szlacheckiej/",200,2024-03-31
"https://www.maius.uj.edu.pl",200,2024-03-31
"https://www.maius.uj.edu.pl",200,2024-03-31
"http://www.muzeum.ustron.pl",200,2024-03-31
"http://www.muzeum.olsztyn.pl",200,2024-03-31
"http://muzeum1945.republika.pl",404,2024-03-31
"http://www.muzeum-szreniawa.pl/imuzeum/web/app.php/vortal/muzeum_wikliniarstwa_i_chmielarstwa_w_nowym_tomyslu.html",404,2024-03-31
"http://www.nmm.pl/muzeum-wisly",200,2024-03-31
"https://nmm.pl/en/vistula-river-museum/",200,2024-03-31
"http://www.muzeum.bialystok.pl/choroszcz/index.php",200,2024-03-31
"http://www.cmp-muzeum.pl",200,2024-03-31
"http://ciz.muzeumwarszawy.pl/",200,2024-03-31
"http://www.muzeum.gorlice.pl/",200,2024-03-31
"http://teatrnn.pl/domslow/",200,2024-03-31
"http://www.bunkierkonewka.eu/",200,2024-03-31
"http://lapidarium.xorg.pl/index.html",200,2024-03-31
"http://www.makieta.poznan.pl/",200,2024-03-31
"https://www.mcswelektrownia.pl/",200,2024-03-31
"http://www.bracz.edu.pl/muzea/mieszkanie-muzeum-kazimiery-illakowiczowny/",404,2024-03-31
"https://muzeumpanatadeusza.ossolineum.pl/",200,2024-03-31
"http://www.fiedler.pl",200,2024-03-31
"https://zamek-lublin.pl/muzeum-regionalne-w-krasniku/",200,2024-03-31
"http://www.mok.olkusz.pl/index.php/muzea/29-muzeum-afrykanistyczne",404,2024-03-31
"http://www.nra.pl/nra.php?id=154",200,2024-03-31
"https://www.asp.krakow.pl/sztuka-nauka/muzeum-asp",200,2024-03-31
"http://darwin.iz.uj.edu.pl/iz/anthropology/muzeum.html",NA,2024-03-31
"http://www.bambrzy.poznan.pl/",200,2024-03-31
"http://kultura.benedyktyni.com/muzeum/",200,2024-03-31
"http://www.albertyni.opoka.org.pl/index.html",200,2024-03-31
"http://pttk-strzelin.pl/galeria/sudeckie/swidnica_muzeum_broni/",200,2024-03-31
"http://www.muzeumbrowaru.pl/strona-glowna.html",404,2024-03-31
"https://muzeumgdansk.pl/oddzialy-muzeum/muzeum-bursztynu/",200,2024-03-31
"https://muzeumgdansk.pl/oddzialy-muzeum/muzeum-bursztynu/",200,2024-03-31
"http://www.cechjanakilinskiego.waw.pl/index.php?page=muzeum",NA,2024-03-31
"http://www.necel.pl/",200,2024-03-31
"https://www.muzeumczestochowa.pl/",200,2024-03-31
"http://www.muzeum.pelplin.diecezja.org/muzeum/",200,2024-03-31
"http://www.muzeumdobranocek.pl/",200,2024-03-31
"https://www.archiwum.gddkia.gov.pl/pl/900",200,2024-03-31
"http://www.muzeumdrukarstwa.pl/",200,2024-03-31
"http://www.muzeum.gorlice.pl/",200,2024-03-31
"http://www.muzeum.ukw.edu.pl",200,2024-03-31
"http://www.muzeumenergetyki.laziska.pl",200,2024-03-31
"https://muzeumfabryki.com.pl/",200,2024-03-31
"http://www.muzeumfarmacji.pl/",NA,2024-03-31
"http://www.muzeumfarmacji.umed.wroc.pl/",200,2024-03-31
"http://www.woia.pl/page/103/muzeum-farmacji.html",200,2024-03-31
"http://www.aptekapodlabedziem.pl/top2.php?id=1",200,2024-03-31
"http://www.muzeum-filumenistyczne.pl/",500,2024-03-31
"http://www.muzeum.jezowe24.pl",200,2024-03-31
"http://www.torun.fortyfikacje.pl",200,2024-03-31
"https://muzeumgazownictwa.pl/",200,2024-03-31
"http://www.mhmg.gda.pl",NA,2024-03-31
"http://muzeum.bytom.pl/",200,2024-03-31
"http://www.poswiatowska.muzeumczestochowa.pl/",200,2024-03-31
"http://www.oht.agh.edu.pl/",NA,2024-03-31
"http://www.muzeum.opatowek.pl",NA,2024-03-31
"http://www.muzeumdukla.pl/",200,2024-03-31
"http://www.muzeum.misjonarze.pl/",NA,2024-03-31
"http://chojnicemuzeum.pl",404,2024-03-31
"http://muzeum.bialystok.pl/s,muzeum-ikon-w-supraslu,38.html",404,2024-03-31
"http://muzeum-ikon.weebly.com/",404,2024-03-31
"http://cyfrowyczarnolas.pl/",200,2024-03-31
"https://www.muzeum-jaroslaw.pl/",200,2024-03-31
"http://www.muzeumkanalu.pl/",403,2024-03-31
"https://muzeum-lodz.pl/siedziby/muzem-kanalu-detka/",200,2024-03-31
"https://muzeum-lodz.pl/siedziby/muzem-kanalu-detka/",200,2024-03-31
"http://www.sami-swoi.com.pl/",200,2024-03-31
"https://katedra-anatomii.cm-uj.krakow.pl/o-katedrze/muzeum-katedry/",200,2024-03-31
"https://www.muzeumpulaski.pl/",403,2024-03-31
"https://www.szczyrzyc.cystersi.pl/muzeum.php",200,2024-03-31
"http://www.muzeum.mpk.lodz.pl/",200,2024-03-31
"http://www.kopieckosciuszki.pl/",200,2024-03-31
"http://muzeum.prawo.ug.edu.pl",200,2024-03-31
"http://www2.oss.wroc.pl/",403,2024-03-31
"http://www.muzeum.pila.pl/",200,2024-03-31
"http://muzeum.bialystok.pl/muzeum-w-tykocinie/",200,2024-03-31
"http://muzeum.bialystok.pl/muzeum-w-tykocinie/",200,2024-03-31
"http://www.biblioteka.podegrodzie.net/",NA,2024-03-31
"http://www.muzeumlubuskie.pl/",200,2024-03-31
"https://www.muzeumludowe.pl/",200,2024-03-31
"http://www.wmn.poznan.pl/odwiedz-nas/muzeum-martyrologii-wielkopolan-fort-vii/",200,2024-03-31
"http://www.muzeumzyrardow.pl/",200,2024-03-31
"https://muzeumplock.eu/",200,2024-03-31
"https://szczytno.muzeum.olsztyn.pl/",200,2024-03-31
"http://www.malachowianka.plock.org.pl/strona,37/",200,2024-03-31
"http://muzeum.webstudio4u.com/",NA,2024-03-31
"http://www.koszyce.gmina.pl/index.php?option=com_content&view=article&id=99&Itemid=154&lang=pl/",200,2024-03-31
"http://www.muzeumkepno.pl/",200,2024-03-31
"http://www.muzeum-lezajsk.pl/",200,2024-03-31
"http://mzntrzcianka.pl/main/index/main/v_main",404,2024-03-31
"http://www.owczarnia.com",200,2024-03-31
"http://www.muzeumprudnik.pl/",200,2024-03-31
"http://www.pyzdry.pl/459,muzeum-ziemi-pyzdrskiej.html",403,2024-03-31
"https://www.gok.sierakowice.pl/stala-ekspozycja-muzealna/",200,2024-03-31
"https://www.muzeumsochaczew.pl/pl/",200,2024-03-31
"http://www.sokolka.pl/muzeum.htm",404,2024-03-31
"http://www.muzeum.wschowa.pl",500,2024-03-31
"http://www.muzeum-kletno.pl/",200,2024-03-31
"http://chelmno-muzeum.eu/?lang=pl",200,2024-03-31
"http://muzeum.kety.pl",200,2024-03-31
"http://www.muzeum-mat.cssf.opoka.org.pl/",200,2024-03-31
"http://www.muzeum-mat.cssf.opoka.org.pl/",200,2024-03-31
