museum,museumLabel,coordinates,website,image
http://www.wikidata.org/entity/Q11787088,Muzeum Mydła i Historii Brudu w Bydgoszczy,Point(17.9975 53.1214),http://muzeummydla.pl,http://commons.wikimedia.org/wiki/Special:FilePath/Muzeum%20Myd%C5%82a%20i%20Historii%20Brudu%20Bydgoszcz%202012a.jpg
http://www.wikidata.org/entity/Q11787089,Muzeum Młynarstwa i Wodnych Urządzeń Przemysłu Wiejskiego,Point(16.8819 52.7134),http://www.muzeum-szreniawa.pl/?q=pl/node/78,http://commons.wikimedia.org/wiki/Special:FilePath/Jaracz-M%C5%82yn%2C%20zesp%C3%B3%C5%82%20osady%20m%C5%82y%C5%84skiej.jpg
http://www.wikidata.org/entity/Q11787090,Muzeum Najmniejszych Książek Świata Zygmunta Szkocnego,Point(18.9691 50.21444),,
http://www.wikidata.org/entity/Q11787093,Muzeum Narodowe Ziemi Przemyskiej w Przemyślu,Point(22.7717 49.7831),http://www.muzeum.przemysl.pl/,http://commons.wikimedia.org/wiki/Special:FilePath/Muzeum%20Narodowe%20Ziemi%20Przemyskiej2.jpg
http://www.wikidata.org/entity/Q11787095,Muzeum Nietypowych Rowerów w Gołębiu,Point(21.8733 51.4883),http://www.muzeumrowerow.pl/,
http://www.wikidata.org/entity/Q11787098,Muzeum Nurkowania,Point(20.9811 52.2331),http://www.muzeumnurkowania.pl/,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20of%20Diving%20in%20Warsaw%2001.JPG
http://www.wikidata.org/entity/Q11787100,Muzeum Obozów Jenieckich w Żaganiu,Point(15.2939 51.5964),http://www.muzeum.zagan.pl/,
http://www.wikidata.org/entity/Q11787101,Muzeum Obrony Wybrzeża w Świnoujściu,Point(14.284742735 53.917236137),,http://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Gerharda%20plac.jpg
http://www.wikidata.org/entity/Q11787103,Muzeum Odona Bujwida w Krakowie,Point(19.9527 50.0654),,http://commons.wikimedia.org/wiki/Special:FilePath/617080%20Krak%C3%B3w%20Lubicz%2034%20kamienica%206.JPG
http://www.wikidata.org/entity/Q11787105,Muzeum Ogrodu Botanicznego i Pracownia Historii Botaniki im. J. Dyakowskiej UJ w Krakowie,Point(19.9558 50.0636),http://www.ogrod.uj.edu.pl/index.php?option=18&action=articles_show&art_id=352&menu_id=220&page=285&lang=pl,
http://www.wikidata.org/entity/Q11787106,Muzeum Ojców Karmelitów w Krakowie na Piasku,Point(19.9317 50.0652),http://www.archiwum.karmelici.pl/,http://commons.wikimedia.org/wiki/Special:FilePath/Krakow-kosciol%20Nawiedzenia%20NMP%20model.jpg
http://www.wikidata.org/entity/Q11787107,Muzeum Okręgowe Ziemi Kaliskiej w Kaliszu,Point(18.0822 51.7607),http://www.muzeumwkaliszu.pl,http://commons.wikimedia.org/wiki/Special:FilePath/Budynek%20Kasy%20Gubernianej%2C%20obecnie%20Muzeum%20%283%29.jpg
http://www.wikidata.org/entity/Q11787108,Muzeum Ziemi Sądeckiej,Point(20.6932 49.6247),http://www.muzeum.sacz.pl/,http://commons.wikimedia.org/wiki/Special:FilePath/Nowy%20Sacz%20Dom%20Gotycki.jpg
http://www.wikidata.org/entity/Q11787109,Muzeum Okręgowe im. Leona Wyczółkowskiego w Bydgoszczy,Point(18.00314 53.12458),http://www.muzeum.bydgoszcz.pl/,http://commons.wikimedia.org/wiki/Special:FilePath/Bdg%20Gdanska4%203%2007-2013.jpg
http://www.wikidata.org/entity/Q11787110,Muzeum Okręgowe w Rzeszowie,Point(22.0012 50.0354),http://www.muzeum.rzeszow.pl,http://commons.wikimedia.org/wiki/Special:FilePath/Rzesz%C3%B3w%20kamienica%20p8.jpg
http://www.wikidata.org/entity/Q11787111,Muzeum Okręgowe w Toruniu,Point(18.60444444 53.01083333),https://www.muzeum.torun.pl/,http://commons.wikimedia.org/wiki/Special:FilePath/Torun%20ratusz%20corr.jpg
http://www.wikidata.org/entity/Q11787112,Muzeum Oświaty Ziemi Łódzkiej,Point(19.4563 51.7509),,http://commons.wikimedia.org/wiki/Special:FilePath/Long%20Night%20of%20Museums%20in%20%C5%81%C3%B3d%C5%BA%202014%20Museum%20of%20Education%2003.jpg
http://www.wikidata.org/entity/Q11787113,Muzeum Paleobotaniczne Instytutu Botaniki PAN w Krakowie,Point(19.95722 50.06432),,
http://www.wikidata.org/entity/Q11787114,Muzeum Paleobotaniczne Instytutu Botaniki UJ w Krakowie,Point(19.957219444 50.064319444),http://www.binoz.uj.edu.pl/index.php?idz=ib_muzeum,
