"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","-"
Item,Frequency,Relative frequency,DOCF,Relative DOCF
"społeczny",4212,8140.24726,180,97.29730
"który",3055,5904.19169,162,87.56757
"ten",2864,5535.05892,153,82.70270
"archiwalny",2074,4008.27940,93,50.27027
"swój",984,1901.71019,127,68.64865
"inny",871,1683.32274,87,47.02703
"taki",818,1580.89322,89,48.10811
"jeden",752,1453.33949,77,41.62162
"państwowy",684,1321.92050,47,25.40541
"polski",668,1290.99838,81,43.78378
"cyfrowy",626,1209.82782,73,39.45946
"lokalny",607,1173.10781,100,54.05405
"nasz",543,1049.41934,116,62.70270
"naukowy",518,1001.10353,38,20.54054
"historyczny",509,983.70984,76,41.08108
"ważny",475,918.00034,82,44.32432
"nowy",447,863.88664,81,43.78378
"pierwszy",427,825.23399,67,36.21622
"publiczny",417,805.90767,55,29.72973
"każdy",417,805.90767,80,43.24324
"sam",406,784.64872,53,28.64865
"różny",394,761.45713,58,31.35135
"jaki",387,747.92870,66,35.67568
"prywatny",384,742.13080,46,24.86486
"związany",383,740.19817,76,41.08108
"wszystek",368,711.20869,75,40.54054
"narodowy",345,666.75814,62,33.51351
"internetowy",333,643.56656,74,40.00000
"kolejny",330,637.76866,44,23.78378
"pozarządowy",322,622.30760,50,27.02703
"wielki",314,606.84654,64,34.59459
"duży",307,593.31812,36,19.45946
"pomorski",275,531.47388,11,5.94595
"ii",267,516.01282,35,18.91892
"własny",261,504.41703,42,22.70270
"drugi",259,500.55177,48,25.94595
"mój",237,458.03386,39,21.08108
"cały",234,452.23596,62,33.51351
"badawczy",233,450.30333,25,13.51351
"dany",227,438.70753,26,14.05405
"dostępny",211,407.78542,48,25.94595
"stary",210,405.85278,67,36.21622
"mały",199,384.59383,42,22.70270
"dolny",197,380.72856,13,7.02703
"fotograficzny",195,376.86330,28,15.13514
"niepaństwowy",193,372.99803,15,8.10811
"krajowy",193,372.99803,11,5.94595
"światowy",191,369.13277,31,16.75676
"główny",190,367.20014,43,23.24324
"obywatelski",189,365.26751,29,15.67568
"istotny",182,351.73908,25,13.51351
"obecny",180,347.87381,37,20.00000
"dobry",179,345.94118,42,22.70270
"jakiś",177,342.07592,29,15.67568
"szeroki",174,336.27802,33,17.83784
"osobowy",174,336.27802,32,17.29730
"podstawowy",174,336.27802,27,14.59459
"ciekawy",170,328.54749,64,34.59459
"kulturowy",170,328.54749,39,21.08108
"poszczególny",169,326.61486,21,11.35135
"pewny",166,320.81696,20,10.81081
"osobisty",165,318.88433,32,17.29730
"rodzinny",158,305.35590,59,31.89189
"otwarty",155,299.55801,32,17.29730
"prawny",154,297.62537,17,9.18919
"dawny",147,284.09695,42,22.70270
"codzienny",146,282.16432,43,23.24324
"miejski",145,280.23168,35,18.91892
"oddolny",142,274.43379,44,23.78378
"autorski",141,272.50115,31,16.75676
"dokumentacyjny",138,266.70326,22,11.89189
"naczelny",136,262.83799,21,11.35135
"konkretny",135,260.90536,22,11.89189
"informacyjny",135,260.90536,20,10.81081
"ostatni",135,260.90536,33,17.83784
"xx",134,258.97273,35,18.91892
"wspólny",133,257.04010,52,28.10811
"finansowy",129,249.30957,12,6.48649
"niektóry",129,249.30957,24,12.97297
"archiwa",128,247.37693,21,11.35135
"możliwy",127,245.44430,26,14.05405
"szczegółowy",126,243.51167,19,10.27027
"związać",124,239.64641,29,15.67568
"wschodni",122,235.78114,16,8.64865
"edukacyjny",122,235.78114,29,15.67568
"daleki",121,233.84851,26,14.05405
"następujący",120,231.91588,8,4.32432
"współczesny",118,228.05061,30,16.21622
"niewielki",117,226.11798,16,8.64865
"wysoki",111,214.52219,28,15.13514
"niniejszy",110,212.58955,21,11.35135
"odpowiedni",106,204.85902,12,6.48649
"cenny",104,200.99376,28,15.13514
"żaden",103,199.06113,16,8.64865
"zewnętrzny",101,195.19586,12,6.48649
"polityczny",101,195.19586,15,8.10811
"terenowy",100,193.26323,15,8.10811
"fizyczny",99,191.33060,17,9.18919
"zawodowy",98,189.39797,24,12.97297
"wojskowy",97,187.46533,8,4.32432
"właściwy",94,181.66744,11,5.94595
"oryginalny",93,179.73480,11,5.94595
"niezależny",93,179.73480,18,9.72973
"organizacyjny",91,175.86954,11,5.94595
"pojedynczy",91,175.86954,13,7.02703
"warszawski",90,173.93691,21,11.35135
"trzeci",89,172.00427,17,9.18919
"stały",87,168.13901,18,9.72973
"ogólny",85,164.27375,9,4.86486
"interesujący",85,164.27375,30,16.21622
"podobny",85,164.27375,22,11.89189
"pełny",84,162.34111,26,14.05405
"archiwistyczny",83,160.40848,24,12.97297
"szczególny",83,160.40848,20,10.81081
"twój",83,160.40848,29,15.67568
"mówiony",83,160.40848,27,14.59459
"ukraiński",82,158.47585,14,7.56757
"młody",82,158.47585,35,18.91892
"tradycyjny",82,158.47585,13,7.02703
"ogromny",82,158.47585,26,14.05405
"różnorodny",81,156.54322,18,9.72973
"regionalny",79,152.67795,27,14.59459
"kulturalny",79,152.67795,33,17.83784
"wszelki",78,150.74532,25,13.51351
"diecezjalny",78,150.74532,2,1.08108
"cookie",76,146.88006,15,8.10811
"jakościowy",76,146.88006,6,3.24324
"audio",75,144.94742,21,11.35135
"bieżący",75,144.94742,15,8.10811
"liczny",75,144.94742,13,7.02703
"aktowy",74,143.01479,7,3.78378
"merytoryczny",74,143.01479,15,8.10811
"iii",74,143.01479,18,9.72973
"wydawniczy",73,141.08216,11,5.94595
"samorządowy",73,141.08216,15,8.10811
"społecznościowy",72,139.14953,18,9.72973
"community",72,139.14953,7,3.78378
"bliski",71,137.21689,20,10.81081
"trudny",71,137.21689,21,11.35135
"południowo-wschodniego",71,137.21689,2,1.08108
"indywidualny",71,137.21689,23,12.43243
"techniczny",70,135.28426,20,10.81081
"dźwiękowy",70,135.28426,14,7.56757
"np.",69,133.35163,14,7.56757
"tematyczny",68,131.41900,16,8.64865
"niezbędny",67,129.48636,25,13.51351
"krótki",67,129.48636,10,5.40541
"artystyczny",67,129.48636,30,16.21622
"powstały",67,129.48636,19,10.27027
"częstochowski",66,127.55373,1,0.54054
"międzynarodowy",66,127.55373,21,11.35135
"pozostały",64,123.68847,14,7.56757
"biograficzny",63,121.75584,14,7.56757
"potrzebny",62,119.82320,19,10.27027
"podkowy",62,119.82320,2,1.08108
"ludowy",62,119.82320,18,9.72973
"elektroniczny",61,117.89057,15,8.10811
"łódzki",61,117.89057,6,3.24324
"dodatkowy",60,115.95794,15,8.10811
"ogólnopolski",60,115.95794,18,9.72973
"profesjonalny",60,115.95794,18,9.72973
"kościelny",60,115.95794,6,3.24324
"tenże",60,115.95794,8,4.32432
"długi",60,115.95794,13,7.02703
"prosty",59,114.02531,17,9.18919
"leśny",59,114.02531,2,1.08108
"wojenny",58,112.09267,12,6.48649
"niemiecki",58,112.09267,16,8.64865
"centralny",58,112.09267,11,5.94595
"line",57,110.16004,1,0.54054
"aktywny",57,110.16004,27,14.59459
"gminny",57,110.16004,21,11.35135
"gospodarczy",56,108.22741,11,5.94595
"ulotny",56,108.22741,13,7.02703
"znany",56,108.22741,18,9.72973
"zwykły",55,106.29478,22,11.89189
"zagraniczny",54,104.36214,7,3.78378
"audiowizualny",54,104.36214,16,8.64865
"xix",54,104.36214,16,8.64865
"bezpłatny",54,104.36214,28,15.13514
"gdański",54,104.36214,14,7.56757
"kluczowy",53,102.42951,16,8.64865
"wołoski",53,102.42951,2,1.08108
"żydowski",53,102.42951,15,8.10811
"formalny",52,100.49688,10,5.40541
"przyszły",52,100.49688,23,12.43243
"wirtualny",52,100.49688,21,11.35135
"wybrany",52,100.49688,20,10.81081
"jedyny",51,98.56425,18,9.72973
"prasowy",51,98.56425,20,10.81081
"powyższy",51,98.56425,8,4.32432
"wideo",50,96.63162,18,9.72973
"szkolny",50,96.63162,15,8.10811
"dotychczasowy",50,96.63162,10,5.40541
"konieczny",49,94.69898,14,7.56757
"praktyczny",49,94.69898,19,10.27027
"i",49,94.69898,12,6.48649
"wstępny",49,94.69898,9,4.86486
"nieformalny",48,92.76635,18,9.72973
"unikatowy",48,92.76635,25,13.51351
"analogowy",48,92.76635,7,3.78378
"przedwojenny",47,90.83372,14,7.56757
"bezpośredni",47,90.83372,11,5.94595
"wolny",47,90.83372,20,10.81081
"widoczny",46,88.90109,10,5.40541
"rzeczowy",46,88.90109,6,3.24324
"to",46,88.90109,21,11.35135
"wiejski",46,88.90109,23,12.43243
