"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","-"
Item,Frequency
"""",41828
".",25079
"w",14407
"i",9857
"z",7412
"",7210
"archiwum",7051
"na",6128
"być",6085
"–",5382
"się",4940
"on",4909
")",4485
"(",4273
":",4257
"społeczny",4223
"do",4138
"]",3582
"[number]",3146
"to",3057
"który",3055
"ten",2864
"nie",2763
"o",2549
"archiwalny",2077
"materiał",2027
"historia",2010
"oraz",1896
"przez",1887
"zbiór",1819
"a",1800
"rok",1651
"że",1524
";",1411
"jak",1400
"od",1340
"s",1334
"/",1331
"osoba",1314
"mieć",1314
"różowy",1225
"móc",1215
"fundacja",1142
"fotografia",1128
"[",1123
"dla",1105
"zasób",1085
"czy",1074
"również",1005
"swój",985
"archiwistyka",974
"lub",969
"dokument",963
"praca",962
"projekt",949
"\",944
"działalność",937
"co",927
"inny",922
"organizacja",893
"dotyczyć",840
"taki",818
"także",786
"polska",767
"informacja",757
"jeden",756
"­-",753
"strona",737
"karta",706
"po",702
"numer",686
"miejsce",685
"państwowy",684
"badanie",682
"polski",671
"ale",665
"prowadzić",665
"zostać",660
"x",639
"dostęp",638
"przypadek",632
"cel",631
"czas",626
"cyfrowy",626
"instytucja",624
"bardzo",611
"też",611
"ośrodek",611
"jako",609
"lokalny",607
"warszawa",607
"?",604
"np.",597
"dokumentacja",585
"−",577
"opis",562
"ramy",554
"przechowywać",552
"jednak",547
"można",546
"dana",543
"nasz",543
"miasto",542
"przed",542
"sposób",542
"część",539
"tylko",537
"pod",533
"stowarzyszenie",528
"temat",524
"naukowy",519
"tworzyć",515
"historyczny",512
"udostępniać",509
"kultura",504
"muzeum",501
"działania",495
"wywiad",495
"zespół",490
"zdjęcia",489
"wiele",489
"należeć",488
"biblioteka",482
"my",478
"ważny",475
"ze",474
"już",473
"przy",467
"gromadzić",466
"opracować",460
"nagranie",460
"m.",459
"nowy",451
"2",450
"archiwista",442
"[url]",437
"mieszkaniec",432
"życie",431
"wyżej",431
"często",429
"pierwszy",427
"archiwalia",424
"%",419
"każdy",417
"grupa",417
"publiczny",417
"sam",408
"mówić",399
"różny",394
"pamięć",389
"społeczność",388
"prywatny",387
"jaki",387
"instytut",386
"związany",383
"działać",380
"dziedzictwo",372
"relacja",372
"człowiek",371
"wszystek",368
"akta",368
"centrum",365
"prawo",362
"=",360
"wielki",359
"$",356
"jednostka",356
"3",355
"miedzy innymi",348
"a.",348
"narodowy",345
"spotkanie",344
"wszystko",344
"dzięki",344
"źródło",342
"dzień",340
"red.",339
"inicjatywa",339
"siebie",336
"internetowy",333
"kolejny",330
"kolekcja",326
"przykład",325
"teczka",325
"towarzystwo",324
"4",323
"współpraca",323
"pozarządowy",322
"...",322
"k.",310
"ii",308
"qdf",307
"duży",307
"ja",307
"tak",307
"za",301
"zawierać",299
"nad",298
"obecnie",296
"qlnqlh",295
"hmwr",295
"aby",293
"charakter",292
"wystawa",291
"zakres",289
"istnieć",287
"2012",286
"wspomnienie",284
"znajdywać",282
"dwa",281
"program",281
"5",280
"pomoc",279
"forma",276
"działanie",275
"pomorski",275
"kopia",271
"toruń",271
"baza",271
"korzystać",267
"wojna",267
"powinien",265
"powstać",262
"możliwość",262
"dokumentować",261
"uwaga",261
"okres",261
"własny",261
"portal",261
"wydarzenie",260
"znaleźć",260
"problem",260
"drugi",259
"archives",259
"twórca",259
"zajmować",258
"publikacja",257
"studium",255
"przekazać",255
"członek",254
"plik",253
"warto",251
"system",251
"6",250
"tekst",250
"metoda",248
"zasada",247
"ustawa",246
"zarówno",246
"trakt",245
"stan",245
"czyli",244
"związek",243
"zdjęcie",242
"rodzina",242
"posiadać",240
"wiedza",240
"sygn.",240
"7",240
"1",238
"wzgląd",238
"!",237
"mój",237
"więc",236
"cały",234
"podmiot",234
"pwin",234
"nagrywać",234
"badawczy",233
"chcieć",232
"sprawa",232
"typ",232
"g",231
"podczas",231
"kilka",230
"użytkownik",227
"dany",227
"bez",227
"gdy",226
"pracownik",225
"kontakt",223
"''",222
"j.",222
"tom",220
"autor",220
"the",219
"zmiana",218
"digitalizacja",218
"przeszłość",218
"by",217
"community",216
"stanowić",216
"zgoda",215
"stać",214
"sygnatura",214
"podstawa",213
"stworzyć",212
"zadanie",212
"rodzaj",211
"dostępny",211
"stary",211
"liczba",210
"nazwa",209
"data",209
"stosować",209
"zwłaszcza",208
"opowieść",208
"państwo",207
"&",206
"patrzyć",205
"jeśli",205
"pozyskiwać",205
"pytanie",205
"mały",204
"musieć",204
"analiza",203
"treść",203
"książka",203
"poza",202
"środek",201
"brak",200
"archiwa",200
"początek",200
"kwestia",200
"gdzie",199
"konkurs",199
"jeszcze",199
"raz",198
"wykonać",197
"rozwój",197
"rozmowa",197
"dolny",197
"ruch",196
"fotograficzny",195
"ziętal",195
"ponad",195
"tu",195
"niepaństwowy",194
"wśród",194
"inwentarz",194
"krajowy",193
"organizować",193
"w.",192
"nauka",192
"światowy",191
"potrzeba",190
"pochodzić",190
"główny",190
"of",190
"obywatelski",190
"podkowa",188
"rzecz",188
"przedmiot",187
"realizacja",185
"składać",184
"sytuacja",184
"udział",184
"zawacka",183
"zachować",183
"istotny",182
"kraków",182
"wartość",181
"obecny",180
"dobry",180
"dom",179
"raport",179
"sieć",177
"przestrzeń",177
"siedziba",177
"jakiś",177
"tamże",175
"kongres",175
"nawet",175
"osobowy",174
"podstawowy",174
"szeroki",174
"online",174
"uniwersytet",174
"pracować",173
"lublin",173
"znaczenie",172
"niż",172
"dawny",171
"świadek",170
"leśna",170
"and",170
"ciekawy",170
"kulturowy",170
"poszczególny",169
"wiek",169
"armia",169
"wspierać",169
"student",168
"będzie",168
"narzędzie",168
"10",167
"9",167
"opisać",167
"realizować",166
"pewny",166
"osobisty",165
"seria",165
"zbierać",164
"wykorzystać",164
"powstawać",164
"teren",163
"środowisko",163
"internet",163
"opisywać",163
"funkcjonować",163
"opracowywać",163
"udostępnić",162
"służyć",162
"artykuł",162
"jeżeli",162
"szkoła",161
"funkcja",161
"8",161
"wykonywać",160
"t.",160
"świat",160
"perspektywa",160
"ponieważ",160
"związać",160
"rozmówca",159
"rodzinny",158
"finansować",157
"1939",156
"spuścizna",156
"wydawać",156
"przygotować",156
"choć",156
"otwarty",155
"przemyśl",154
"prawny",154
"2013",154
"ochrona",154
"przekazywać",153
"efekt",153
"publikować",153
"dâćf",152
"służba",152
"5r",152
"kobieta",151
"wyłącznie",151
"proces",151
"dużo",151
"wraz",151
"wynik",150
"xx",150
"ponadto",150
"pamiętać",150
"opowiadacz",149
"doświadczenie",149
"zainteresowanie",149
"dzieje",149
"im.",148
"miejski",147
"postać",147
"codzienny",146
"archiwizacja",146
"dlatego",145
"sprawozdanie",145
"wykorzystywać",144
"podręcznik",144
"wtedy",144
"dziś",144
"2010",144
"tradycja",143
"społeczeństwo",143
"dyrektor",142
"klub",142
"oddolny",142
"tam",142
"autorski",141
"*",141
"tytuł",140
"jednocześnie",140
"s.",140
"e.",140
"bronowice",139
"naczelny",139
"rola",139
"dokumentacyjny",139
"umieścić",138
"władza",138
"2007",138
"zawsze",138
"2009",138
"prezentować",137
"łódź",137
"między",137
"20",137
"nazwisko",137
"element",137
"obiekt",137
"gdańsk",137
"15",136
"praktyka",136
"ostatni",136
"poprzez",135
"dział",135
"trzy",135
"informacyjny",135
"konkretny",135
"jan",135
"historyk",134
"korespondencja",134
"sztuka",133
"wspólny",133
"pamiątka",133
"wymagać",133
"wokół",132
"wspomnienia",132
"serwis",132
"elżbieta",131
"niektóry",131
"11",131
"film",130
"r.",130
"fragment",130
"druk",130
"pozyskać",130
"2018",130
"kontekst",130
"obszar",130
"finansowy",129
"bo",128
"12",128
"kto",128
"dobrze",127
"×",127
"możliwy",127
"struktura",127
"zgromadzić",127
"cecha",127
"skan",127
"szczegółowy",126
"zjawisko",126
"budować",126
"oznaczać",126
"biuletyn",126
"gmina",126
"art.",126
"zapis",124
"●",124
"właśnie",124
"pozwalać",124
"lecz",124
"dziedzina",123
"+",123
"żeby",123
"edukacyjny",122
"określić",122
"wschodni",122
"granica",122
"utwór",122
"używać",122
"księga",122
"14",121
"większość",121
"daleki",121
"język",121
"punkt",121
"kraj",120
"wchodzić",120
"następujący",120
"szkolenie",119
"współczesny",119
"kiedy",119
"podejmować",119
"katarzyna",119
"warsztaty",118
"definicja",118
"in",118
"wydawnictwo",118
"zainteresować",117
"niewielki",117
"koniec",117
"poziom",117
"16",117
"akcja",117
"według",117
"akt",116
"prl",116
"tożsamość",116
"więcej",115
"opracowanie",115
"wideo",115
"uczestnik",115
"trwać",115
"przyjaciel",115
"oryginał",114
"wstęp",114
"zebrać",114
"etap",113
"wpływ",113
"generał",113
"ks.",113
"przedstawiciel",112
"badać",112
"zacząć",112
"otrzymać",111
"trzeba",111
"negatyw",111
"badacz",111
"albo",111
"wysoki",111
"przeprowadzić",111
"termin",111
"wcześnie",111
"przyjąć",111
"głównia",111
"załącznik",110
"pt.",110
"niniejszy",110
"czarnota",110
"cookies",109
"następnie",109
"skład",109
"katalog",109
"zgodnie",108
"archeologia",108
"2008",108
"maria",108
"ok.",108
"obejmować",108
"wrzesień",108
"tzw.",107
"aktywność",107
"podzielić",107
"moment",107
"powód",106
"minister",106
"odpowiedni",106
"fot.",106
"poznać",106
"odbiorca",105
"parafia",105
"wprowadzić",105
"zabezpieczyć",105
"album",105
"tematyka",105
"miejscowość",105
"aspekt",105
"spis",105
"18",104
"uzyskać",104
"cenny",104
"wolontariusz",104
"stopień",104
"zorganizować",104
"warsztat",104
"dzielnica",103
"rada",103
"1945",103
"2016",103
"żaden",103
"przepis",103
"zewnętrzny",103
"wieś",103
"opowiadać",102
"sekcja",102
"przedstawiać",102
"dzielić",102
"iii",101
"1871",101
"odbyć",101
"polityczny",101
"szczególnie",101
"nagrać",101
"porządkować",100
"opublikować",100
"region",100
"idea",100
"pdf",100
"wojskowy",100
"jedynie",100
"wspomnieć",100
"mapa",100
"terenowy",100
"u",100
"fakt",99
"okazać",99
"fizyczny",99
"poz.",99
"zawodowy",98
"coś",98
"ziemia",98
"los",98
"tysiąc",97
"rozpocząć",97
"80",97
"przyszłość",97
"odbitka",96
"zakład",96
"właściciel",96
"utworzyć",96
"19",96
"qlnqu",96
"polegać",96
"coraz",96
"imię",96
"podjąć",96
"pisać",95
"słowo",95
"pojawiać",95
"współpracować",95
"tj.",95
"stawać",95
"natomiast",95
"format",95
"osiedle",94
"chorążyczewski",94
"właściwy",94
"obserwacja",94
"konferencja",94
"wiedzieć",94
"wymienić",94
"ukraiński",94
"udać",94
"diecezja",93
"wiśniewska-drewniak",93
"zawartość",93
"25",93
"zaangażować",93
"zagadnienie",93
"pole",93
"dać",93
"niezależny",93
"występować",93
"zrobić",93
"oryginalny",93
"medium",93
"zarząd",92
"wybrać",92
"informator",92
"skanować",92
"chodzić",92
"17",92
"znać",91
"wersja",91
"kościół",91
"pojedynczy",91
"warszawski",91
"uporządkować",91
"dz.",91
"rozwijać",91
"bieżący",91
"organizacyjny",91
"zapraszać",91
"obraz",91
"ona",91
"wsparcie",90
"u.",90
"b.",90
"założyć",89
"południowo-wschodniego",89
"plan",89
"zapisać",89
"świadectwo",89
"wizyta",89
"cas",89
"październik",89
"komitet",89
"trzeci",89
"wydać",88
"list",88
"przedstawić",88
"okazja",88
"zależeć",88
"rozwiązanie",88
"zazwyczaj",87
"rozdział",87
"liczyć",87
"29",87
"rejestr",87
"stały",87
"poszukiwać",87
"decyzja",86
"wyzwanie",86
"miara",86
"d.",86
"młody",86
"brać",86
"godzina",86
"daleko",86
"wynikać",86
"ʤː",86
"podobny",85
"zastosować",85
"pełny",85
"interesujący",85
"ogólny",85
"1913",85
"podobnie",84
"polityka",84
"pojawić",84
"kancelaria",84
"27",84
"pokolenie",83
"p.",83
"może",83
"mówiony",83
"itp.",83
"archiwistyczny",83
"twój",83
"urząd",83
"rozumieć",83
"bądź",83
"wniosek",83
"papier",83
"szczególny",83
"ktoś",83
"dziennik",82
"ewidencjonować",82
"placówka",82
"podział",82
"zachęcać",82
"oddział",82
"wobec",82
"2014",82
"ogromny",82
"wybór",82
"warunki",82
"tradycyjny",82
"z.",82
"umożliwiać",82
"2000",82
"budynek",82
"zakładać",81
"ofiarodawca",81
"powołać",81
"luty",81
"różnorodny",81
"2006",81
"założenie",81
"szeroko",81
"uczestniczyć",81
"joanna",81
"tutaj",81
"zabezpieczać",80
"stanisław",80
"dofinansować",80
"cookie",80
"okazywać",80
"13",80
"bezpośrednio",80
"line",80
"własność",79
"planować",79
"wciąż",79
"poświęcić",79
"kulturalny",79
"wziąć",79
"regionalny",79
"osa",79
"polka",78
"zapoznać",78
"dotrzeć",78
"oprzeć",78
"ul.",78
"diecezjalny",78
"pojęcie",78
"umowa",78
"wszelki",78
"dawać",78
"ak",78
"adres",77
"zmieniać",77
"q",77
"wytworzyć",77
"1938",77
"listopad",76
"bowiem",76
"dopiero",76
"odpowiadać",76
"jakościowy",76
"potem",76
"robić",76
"dzieło",76
"przedsięwzięcie",76
"pomorze",75
"trafić",75
"liczny",75
"czasopismo",75
"okupacja",75
"próba",75
"literatura",75
"zwrócić",75
"dziecko",75
"bliski",75
"inspiracja",75
"polak",75
"audio",75
"kwiecień",75
"aktowy",74
"t",74
"szukać",74
"całość",74
"protokół",74
"mało",74
"//",74
"żyć",74
"ministerstwo",74
"merytoryczny",74
"samorządowy",73
"darczyńca",73
"układ",73
"1989",73
"lipiec",73
"wydawniczy",73
"www",73
"90",73
"1990",73
"autorka",73
"zeskanować",73
"bronowicka",73
"mimo",72
"późno",72
"młodzież",72
"społecznościowy",72
"zatem",72
"głos",72
"wyrażać",72
"śmierć",72
"czytelnik",71
"indywidualny",71
"lista",71
"dotacja",71
"trudny",71
"droga",70
"edukacja",70
"odpowiedź",70
"artysta",70
"przetwarzać",70
"znajdować",70
"hasło",70
"kobylnica",70
"techniczny",70
"wpisać",70
"pomysł",70
"standard",70
"dźwiękowy",70
"pasja",70
"maj",70
"pomagać",70
"oprócz",70
"dziesięć",70
"powiedzieć",70
"kierunek",69
"nośnik",69
"g.",69
"2001",69
"2002",69
"sporządzić",69
"pan",69
"dziać",69
"studia",69
"pzpr",69
"żołnierz",69
"ile",69
"interesować",69
"przykładowo",68
"tematyczny",68
"pozostawać",68
"pani",68
"fotograf",68
"1944",68
"zmienić",68
"as",68
"study",68
"uważać",68
"niezbędny",67
"zawrzeć",67
"h",67
"powstały",67
"krótki",67
"2003",67
"nadać",67
"ślad",67
"artystyczny",67
"rzeczywistość",67
"pełnić",67
"sprzęt",67
"pokazywać",67
"archival",67
"zbigniew",67
"zarządzać",67
"zrzeszenie",67
"patrzeć",67
"oba",67
"statut",66
"prezes",66
"częstochowski",66
"pomieszczenie",66
"międzynarodowy",66
"spacer",66
"dvrexdufklzdoqhjr",66
"dodać",66
"powstanie",66
"f",66
"definiować",66
"chwila",66
"odbywać",66
"model",66
"promować",65
"myśl",65
"pasjonat",65
"poznań",65
"uznać",65
"charakterystyka",65
"promocja",65
"opowiedzieć",65
"wpływać",65
"prezentacja",65
"ust.",65
"łączyć",65
"potrzebny",65
"▶",65
"2017",65
"zapewnić",65
"odnosić",65
"czerwiec",64
"około",64
"okolica",64
"wizerunek",64
"reklama",64
"wskazać",64
"ocena",64
"pozostały",64
"andrzej",64
"mwd",64
"strategia",64
"wspólnota",64
"kategoria",64
"1991",64
"zabytek",64
"ldâ",64
"niekiedy",63
"czynność",63
"status",63
"biograficzny",63
"marzec",63
"wymiar",63
"określać",63
"kościelny",63
"redakcja",63
"świadomość",63
"jerzy",63
"zdigitalizować",63
"koleja",63
"włączyć",63
"nazywać",63
"26",63
"sektor",62
"pozwolić",62
"przyjmować",62
"ludowy",62
"dyrekcja",62
"ani",62
"podkowy",62
"flinn",62
"pokazać",62
"starać",62
"inaczej",62
"qlnl",62
"zaczynać",62
"zarządzanie",62
"trudno",62
"prawie",62
"św.",61
"uzupełniać",61
"ty",61
"obóz",61
"tona",61
"ulica",61
"kartoteka",61
"przeglądarka",61
"właściwie",61
"cykl",61
"grudzień",61
"ukraina",61
"teraz",61
"faf",61
"elektroniczny",61
"przygotowywać",61
"łódzki",61
"bywać",60
"brakować",60
"długi",60
"1930",60
"kombatant",60
"tenże",60
"ogólnopolski",60
",,",60
"chronić",60
"ciąg",60
"profesjonalny",60
"kryterium",60
"dodatkowy",60
"1994",59
"dołączyć",59
"towarzyszyć",59
"archidiecezja",59
"leśny",59
"niemiecki",59
"krok",59
"prosty",59
"raczej",59
"komunikacja",59
"szansa",59
"1999",59
"fundusz",59
"pogranicze",59
"usługa",58
"jakość",58
"dysk",58
"uzupełnić",58
"wyglądać",58
"przeprowadzać",58
"kierować",58
"wypadek",58
"40",58
"wojenny",58
"aż",58
"centralny",58
"użyć",58
"stocznia",57
"kilkadziesiąt",57
"solidarność",57
"gminny",57
"zwracać",57
"otrzymywać",57
"50",57
"itd.",57
"wspólnie",57
"dyskurs",57
"1937",57
"konserwacja",57
"60",57
"opinia",57
"aktywny",57
"czynnik",57
"włocławek",56
"zbadać",56
"wskazywać",56
"30",56
"33",56
"dłubak",56
"obecność",56
"wiązać",56
"anna",56
"warunek",56
"gospodarczy",56
"zaliczyć",56
"wojciech",56
"fk",56
"transkrypcja",56
"mieszkać",56
"ulotny",56
"koło",56
"znany",56
"przewodnik",56
"profesor",56
"piotr",55
"konspiracja",55
"styczeń",55
"wykaz",55
"specyfika",55
"podejście",55
"2015",55
"otworzyć",55
"zwykły",55
"zakończyć",55
"odkrywać",55
"rosa",55
"audiowizualny",54
"gra",54
"1996",54
"narracja",54
"widzieć",54
"pomóc",54
"xix",54
"zagraniczny",54
"oczywiście",54
"1728",54
"krzysztof",54
"komisja",54
"•",54
"skorzystać",54
"bezpłatny",54
"aleksander",54
"obowiązek",54
"2005",54
"plakat",54
"pozycja",54
"gdański",54
"google",54
"łodzianin",53
"research",53
"edycja",53
"wybrany",53
"licencja",53
"23",53
"tys.",53
"metodologia",53
"żydowski",53
"kluczowy",53
"kolańczuka",53
"zrealizować",53
"wołoski",53
"przegląd",53
"mb",53
"miasta-ogrodu",53
"ustalić",53
"zniszczenie",53
"zobaczyć",52
"wirtualny",52
"upowszechniać",52
"pocztówka",52
"wstępny",52
"formalny",52
"plac",52
"martini",52
"walka",52
"rękopis",52
"przyszły",52
"prasowy",51
"pora",51
"połowa",51
"45",51
"umiejętność",51
"kronika",51
"jedyny",51
"tyle",51
"angażować",51
"100",51
"powyższy",51
"iv",51
"prosić",51
"ewidencja",51
"bronowicki",51
"samorząd",50
"misja",50
"łatwo",50
"oprac.",50
"blisko",50
"dokonać",50
"umieszczać",50
"history",50
"opieka",50
"41",50
"tryb",50
"catl",50
"1971",50
"prof.",50
"objąć",50
"notatka",50
"szkolny",50
"case",50
"żyd",50
"1995",50
"konsultacja",50
"facebook",50
"różnorodność",50
"dotychczasowy",50
"odnaleźć",50
"partia",50
"43",50
"złożyć",49
"chęć",49
"wyrazić",49
"facebooku",49
"technika",49
"praktyczny",49
"1948",49
"ograniczyć",49
"traktować",49
"konieczny",49
"teoria",49
"dość",49
"1983",49
"zastać",49
"rozmawiać",49
"fgez",48
"zm.",48
"zaprezentować",48
"unikatowy",48
"szczególność",48
"otoczenie",48
"decydować",48
"wolny",48
"dysponować",48
"analogowy",48
"nieformalny",48
"działacz",48
"poniżej",48
"komentarz",48
"platforma",48
"dlaczego",48
"partner",48
"cztery",48
"grybów",48
"forum",48
"ufklzxp",48
"sprawdzić",48
"kwerenda",48
"toruńskie",48
"radio",48
"wówczas",48
"odwiedzać",48
"v",47
"redaktor",47
"bibliografia",47
"dodawać",47
"siła",47
"http",47
"zapisywać",47
"ratować",47
"pewność",47
"zofia",47
"bezpośredni",47
"teatr",47
"agnieszka",47
"archiwistka",47
"przedwojenny",47
"zdarzać",47
"popularyzacja",47
"częściowo",47
"szczegół",47
"kolejność",47
"ndap",47
"administracja",47
"miesiąc",47
"wsk",47
"józef",46
"rzeczowy",46
"archeion",46
"biblioteczny",46
"inspirować",46
"pomiędzy",46
"województwo",46
"przekonanie",46
"wolność",46
"obok",46
"wiejski",46
"newsletter",46
"późn.",46
"niezwykle",46
"galeria",46
"wprowadzać",46
"archive",46
"różnić",46
"widoczny",46
"32",46
"nowak",46
"skupiać",46
"1521",46
"brama",46
"podać",46
"2011",46
"szereg",45
"częstochowa",45
"wojtyła",45
"udzielać",45
"tekstowy",45
"powojenny",45
"wątek",45
"docierać",45
"jednolity",45
"ręka",45
"zaznaczyć",45
"21",45
"zbąszyń",45
"konfrontacja",45
"komputer",45
"rocznik",45
"1975",45
"odniesienie",45
"24",45
"skupić",44
"zarejestrować",44
"www.archiwa.org",44
"grodzka",44
"pudło",44
"sięgać",44
"xqgdfml",44
"osobny",44
"technologia",44
"przenieść",44
"wielkość",44
"teoretyczny",44
"światło",44
"wydział",44
"uruchomić",44
"1979",44
"lgbtqia",44
"science",44
"win",44
"przecież",44
"prasa",44
"opozycja",44
"sołtysiak",44
"prywatność",44
"oferta",44
"profil",43
"paweł",43
"mówionej",43
"e-mail",43
"sierpień",43
"wykształcenie",43
"obwoluta",43
"poddać",43
"lgbt",43
"okrąg",43
"światło-życie",43
"wysoko",43
"zbiorowy",43
"iż",43
"1941",43
"1949",43
"wymiana",43
"niepodległościowy",43
"1997",43
"pap",43
"przemysł",43
"autorstwo",43
"natalia",43
"aw",43
"przeglądać",43
"koordynatorka",43
"zwykle",43
"zamieścić",43
"35",42
"ów",42
"cieszyć",42
"wspominać",42
"heritage",42
"grantowy",42
"tomasz",42
"godz.",42
"zajęcie",42
"nawiązać",42
"polonijny",42
"festiwal",42
"tym",42
"budowa",42
"2004",42
"ocalić",42
"opakowanie",42
"konieczność",42
"komputerowy",42
"selekcja",41
"ilość",41
"regulamin",41
"czytać",41
"sesja",41
"choćby",41
"czyn",41
"istnienie",41
"mniejszość",41
"1980",41
"naród",41
"powszechny",41
"zdecydować",41
"grant",41
"minczykowska",41
"postrzegać",41
"42",41
"podziemny",41
"1981",41
"74",41
"skaner",41
"zauważyć",41
"portret",41
"63",41
"zbioryspoleczne.pl",41
"spadkobierca",41
"przeznaczyć",41
"magazyn",41
"przejąć",41
"skrót",41
"1998",41
"ówczesny",41
"podkreślać",41
"pamiętnik",41
"połączyć",41
"wiśniewska",41
"oficjalny",40
"kiedyś",40
"ojciec",40
"§",40
"specjalny",40
"przebieg",40
"nigdy",40
"wojewódzki",40
"archidiecezjalny",40
"nikt",40
"pracownia",40
"wejść",40
"polonia",40
"początkowo",40
"temu",40
",,,",40
"zbyt",40
"rzadko",40
"domowy",40
"sens",40
"wewnętrzny",40
"architektura",40
"poprzedni",40
"podseria",40
"zjazd",40
"1920",40
"ameryka",39
"kilkanaście",39
"refleksja",39
"i.",39
"genealogiczny",39
"sporządzać",39
"as-ów",39
"dyskusja",39
"łącznie",39
"stacja",39
"zdobyć",39
"szybko",39
"wyjątek",39
"małgorzata",39
"spotykać",39
"interpretacja",39
"depozyt",39
"38",39
"zdawać",39
"muzealny",39
"górski",39
"zapomnienie",39
"1824",39
"zapewniać",39
"adam",39
"informować",39
"skala",39
"niezależnie",39
"rozporządzenie",39
"potencjał",39
"dbać",39
"kształt",39
"michał",39
"świadczyć",39
"brytania",39
"czynić",39
"potencjalny",39
"uwzględnić",39
"niemal",38
"70",38
"zaprosić",38
"diagnoza",38
"muzealia",38
"określenie",38
"ukrainoznawczy",38
"pałac",38
"bibliotekarz",38
"repozytorium",38
"byłoby",38
"por.",38
"rozpowszechniać",38
"for",38
"kompetencja",38
"podkreślić",38
"wycinek",38
"ściśle",38
"witryna",38
"wszyscy",38
"sejm",38
"zachodzić",38
"prostu",38
"likwidacja",38
"spełniać",38
"zdefiniować",38
"papierowy",38
"dowiedzieć",38
"dyktafon",38
"vi",38
"ustawienie",38
"nowoczesny",38
"nieco",38
"biuro",38
"fem",37
"nieznany",37
"nauczyciel",37
"góra",37
"mikołaj",37
"procedura",37
"wolontariat",37
"administracyjny",37
"indeks",37
"grono",37
"wskazówka",37
"koszt",37
"humanistyczny",37
"napisać",37
"źródłowy",37
"kształtować",37
"określony",37
"razem",37
"emocja",37
"opierać",37
"obserwować",37
"sowiecki",37
"powyżej",37
"konserwator",37
"znacznie",37
"00",37
"zdarzenie",37
"poczucie",37
"53",37
"przynajmniej",37
"digitalizować",37
"katolicki",37
"nic",37
"h.",37
"dar",37
"absolwent",36
"przygotowanie",36
"64",36
"bas",36
"inwentaryzacja",36
"proponować",36
"greckokatolicki",36
"powiat",36
"obsługa",36
"żywy",36
"zadbać",36
"zachowanie",36
"władysław",36
"folder",36
"kontynuować",36
"1957",36
"wymieniać",36
"jakikolwiek",36
"postępowanie",36
"magdalena",36
"gość",36
"kopalnia",36
"spotkać",36
"dvrex",36
"rp",35
"zaś",35
"dodatkowo",35
"reprezentować",35
"rekord",35
"współpracownik",35
"uniwersytecki",35
"apel",35
"pismo",35
"ogól",35
"wyszukiwać",35
"przemysłowy",35
"pierwotny",35
"zamknąć",35
"królewski",35
"prawdopodobnie",35
"nadzieja",35
"rząd",35
"pewno",35
"73",35
"nadawać",35
"subiektywny",35
"sulejówek",35
"animacja",35
"trafiać",35
"c5",34
"kowal",34
"niemcy",34
"miasteczko",34
"obowiązywać",34
"uczeń",34
"przekaz",34
"ldâ9",34
"dźwięk",34
"święto",34
"całkowicie",34
"chronologiczny",34
"przykładowy",34
"wywoływać",34
"pogląd",34
"1936",34
"kierownik",34
"rozdzielczość",34
"zaangażowanie",34
"bohater",34
"rejestracja",34
"akademicki",34
"stawiać",34
"zarazem",34
"zeszyt",34
"ekspert",34
"trudność",34
"dobór",34
"powszechnie",34
"obieg",34
"miastograf",34
"sekretarz",34
"gazeta",34
"1992",34
"włączać",34
"dostosować",34
"uroczystość",34
"34",34
"gdyby",34
"mieszkanie",34
"podlaszeckich",34
"międzywojenny",34
"utrwalić",34
"lubelski",34
"151",34
"dr",34
"wczesny",33
"różnica",33
"56",33
"zawód",33
"gluza",33
"cadg",33
"specyficzny",33
"muzyka",33
"1918",33
"kolor",33
"f.",33
"katowice",33
"nadal",33
"charakterystyczny",33
"europa",33
"gdyż",33
"krzyż",33
"przynieść",33
"przeczytać",33
"dobra",33
"niewiele",33
"naturalny",33
"okręg",33
"47",33
"dekada",33
"schemat",33
"bieżąco",33
"problematyka",33
"historyczka",33
"stępień",33
"chętnie",33
"popularny",33
"ignacy",33
"wyżga",33
"podlegać",33
"setka",33
"umcs",33
"terytorialny",33
"zupełnie",33
"umożliwić",32
"reguła",32
"organ",32
"tło",32
"oko",32
"ĺ",32
"dostępność",32
"materialny",32
"pięć",32
"sąsiad",32
"oferować",32
"kopernik",32
"filmowy",32
"wydzielić",32
"zachowywać",32
"rozproszyć",32
"łatwy",32
"ewa",32
"no",32
"identyfikacja",32
"świadomy",32
"europejski",32
"uczyć",32
