"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","-"
Item,Frequency,Relative frequency,DOCF,Relative DOCF
"być",6085,11760.06756,181,97.83784
"mieć",1314,2539.47885,117,63.24324
"móc",1215,2348.14825,120,64.86486
"dotyczyć",840,1623.41113,80,43.24324
"prowadzić",665,1285.20048,94,50.81081
"zostać",660,1275.53732,91,49.18919
"przechowywać",552,1066.81303,47,25.40541
"tworzyć",515,995.30564,99,53.51351
"udostępniać",508,981.77721,70,37.83784
"należeć",488,943.12456,38,20.54054
"gromadzić",466,900.60665,80,43.24324
"opracować",460,889.01086,45,24.32432
"mówić",399,771.12029,91,49.18919
"działać",380,734.40028,87,47.02703
"zawierać",299,577.85706,22,11.89189
"istnieć",287,554.66547,44,23.78378
"znajdywać",282,545.00231,48,25.94595
"korzystać",267,516.01282,72,38.91892
"powstać",262,506.34966,71,38.37838
"dokumentować",261,504.41703,62,33.51351
"znaleźć",260,502.48440,63,34.05405
"zajmować",258,498.61913,51,27.56757
"przekazać",255,492.82124,39,21.08108
"posiadać",240,463.83175,30,16.21622
"nagrywać",234,452.23596,37,20.00000
"chcieć",232,448.37069,68,36.75676
"np.",221,427.11174,35,18.91892
"stanowić",216,417.44858,31,16.75676
"stworzyć",212,409.71805,64,34.59459
"stosować",209,403.92015,36,19.45946
"patrzyć",205,396.18962,8,4.32432
"stać",205,396.18962,38,20.54054
"pozyskiwać",205,396.18962,27,14.59459
"musieć",204,394.25699,29,15.67568
"wykonać",197,380.72856,29,15.67568
"organizować",193,372.99803,45,24.32432
"pochodzić",190,367.20014,28,15.13514
"składać",184,355.60434,26,14.05405
"zachować",183,353.67171,54,29.18919
"pracować",173,334.34539,50,27.02703
"wspierać",169,326.61486,46,24.86486
"będzie",168,324.68223,58,31.35135
"opisać",167,322.74959,28,15.13514
"realizować",166,320.81696,54,29.18919
"zbierać",164,316.95170,60,32.43243
"powstawać",164,316.95170,44,23.78378
"wykorzystać",164,316.95170,31,16.75676
"opracowywać",163,315.01907,35,18.91892
"funkcjonować",163,315.01907,40,21.62162
"opisywać",163,315.01907,34,18.37838
"służyć",162,313.08643,28,15.13514
"udostępnić",162,313.08643,49,26.48649
