Kategoria: Wszystko

Dzień,Muzeum: (Polska),Biblioteka: (Polska)
2024-08-26,61,52
2024-08-27,58,47
2024-08-28,57,44
2024-08-29,54,43
2024-08-30,59,40
2024-08-31,62,26
2024-09-01,69,27
2024-09-02,45,54
2024-09-03,50,49
2024-09-04,50,51
2024-09-05,51,51
2024-09-06,54,47
2024-09-07,68,34
2024-09-08,72,30
2024-09-09,52,55
2024-09-10,56,48
2024-09-11,52,50
2024-09-12,56,48
2024-09-13,58,50
2024-09-14,65,31
2024-09-15,60,28
2024-09-16,54,51
2024-09-17,53,51
2024-09-18,54,46
2024-09-19,52,44
2024-09-20,53,46
2024-09-21,63,30
2024-09-22,69,27
2024-09-23,48,50
2024-09-24,50,49
2024-09-25,52,46
2024-09-26,53,46
2024-09-27,58,45
2024-09-28,63,32
2024-09-29,59,31
2024-09-30,44,51
2024-10-01,45,56
2024-10-02,45,58
2024-10-03,50,58
2024-10-04,49,55
2024-10-05,64,38
2024-10-06,67,36
2024-10-07,47,59
2024-10-08,47,59
2024-10-09,47,54
2024-10-10,48,56
2024-10-11,55,54
2024-10-12,65,36
2024-10-13,71,30
2024-10-14,50,59
2024-10-15,51,55
2024-10-16,48,54
2024-10-17,49,58
2024-10-18,53,53
2024-10-19,57,34
2024-10-20,60,33
2024-10-21,48,54
2024-10-22,51,56
2024-10-23,47,52
2024-10-24,51,51
2024-10-25,67,51
2024-10-26,76,34
2024-10-27,86,32
2024-10-28,74,61
2024-10-29,66,52
2024-10-30,63,53
2024-10-31,56,47
2024-11-01,65,30
2024-11-02,70,33
2024-11-03,69,31
2024-11-04,55,63
2024-11-05,55,58
2024-11-06,49,53
2024-11-07,55,54
2024-11-08,64,49
2024-11-09,89,34
2024-11-10,100,25
2024-11-11,67,33
2024-11-12,52,60
2024-11-13,52,55
2024-11-14,51,52
2024-11-15,58,49
2024-11-16,63,36
2024-11-17,71,32
2024-11-18,45,53
2024-11-19,46,50
2024-11-20,50,48
2024-11-21,48,47
2024-11-22,47,46
2024-11-23,61,34
2024-11-24,61,31
2024-11-25,43,53
2024-11-26,46,59
