"time","link","text","comments","likes","shares"
"2024-09-27T13:39:07.000Z","https://tiny.pl/c931xt6m","🦆 Zapraszamy na wystawę JÓZEF CHEŁMOŃSKI poświęconą twórczości jednego z najwyżej cenionych polskich malarzy. Od 27 września w Muzeum możecie podpatrywać ptaki, podziwiać rozpędzone konie, poczuć śnieg i błoto wypełniające rodzime pejzaże.

Układ wystawy odzwierciedla najważniejsze dziedziny malarskich zainteresowań Chełmońskiego: ukazuje go jako kronikarza codziennego życia wsi, artystę zafascynowanego końmi, ich urodą, charakterem, żywiołową dynamiką ruchu, wreszcie jako wrażliwego obserwatora natury, dostrzegającego także duchowy, religijno-mistyczny wymiar jej bytu.

✏️ Wystawie towarzyszy bogaty program wydarzeń: https://tiny.pl/c931xt6m

🎧 Zachęcamy do korzystania z audioprzewodników, do których głosów użyczyli Krystyna Czubówna i Adam Wajrak: https://tiny.pl/vtv21jcr

📅 Wystawa potrwa do 26 stycznia 2025 roku.

👥 Kuratorzy: Ewa Micke-Broniarek i Wojciech Głowacki

📖 W muzealnej księgarni znajdziecie katalog i przewodnik po wystawie.

Do zobaczenia!
___

Projekt CHEŁMOŃSKI realizowany w latach 2022–2025 przez Muzeum Narodowe w Warszawie, Muzeum Narodowe w Poznaniu, The National Museum in Poznań i Muzeum Narodowe w Krakowie","5","169","43"
"2024-09-27T07:42:01.000Z",,"„Chełmoński nam się udał"" tymi słowami Agnieszka Lajus, p.o. Dyrektor Muzeum Narodowego w Warszawie otworzyła najbardziej wyczekiwaną wystawę tej jesieni.

Zachęcamy do obejrzenia fotorelacji z wczorajszego wernisażu i zapraszamy na wystawę JÓZEF CHEŁMOŃSKI!
___

Projekt CHEŁMOŃSKI realizowany w latach 2022–2025 przez Muzeum Narodowe w Warszawie, Muzeum Narodowe w Poznaniu i Muzeum Narodowe w Krakowie.

Fot. Bartosz Bajerski / Muzeum Narodowe w Warszawie","3","447","32"
"2024-09-26T13:53:15.000Z",,"OTWARCIE WYSTAWY JÓZEF CHEŁMOŃSKI JUŻ JUTRO!

Zobaczcie, jak koordynatorka wystawy Agata Wiśnioch opowiada o pracy nad ekspozycją – od pierwszych przygotowań do jej zakończenia.

A już od piątku, 27 września, możecie zobaczyć wystawę na żywo.

Do zobaczenia!","5","115","12"
"2024-09-25T14:02:34.000Z",,"Dziś odbyła się konferencja prasowa poświęcona otwarciu wystawy JÓZEF CHEŁMOŃSKI.

O wystawie opowiadali kuratorzy: Ewa Micke-Broniarek i Wojciech Głowacki; p.o. Dyrektora Muzeum Narodowego w Warszawie Agnieszka Lajus, Zastępca Dyrektora ds. Komunikacji i Edukacji MNW Małgorzata Łobocka, Główna Konserwatorka Muzeum Narodowego w Krakowie Elżbieta Zygier oraz  Dyrektor Muzeum Narodowego w Poznaniu Tomasz Łęcki. 

Na wystawę zapraszamy już od piątku!
___

Projekt CHEŁMOŃSKI realizowany w latach 2022–2025 przez Muzeum Narodowe w Warszawie, Muzeum Narodowe w Poznaniu, The National Museum in Poznań i  Muzeum Narodowe w Krakowie 

Fot. Bartosz Bajerski / Muzeum Narodowe w Warszawie","2","172","12"
"2024-09-25T12:27:47.000Z",,"🃏 SZOK: MYŚLELIŚMY, ŻE JEDZIE DO LUWRU, A TYMCZASEM POJAWIŁ SIĘ NA PŁYCIE LADY GAGI

Nasz ukochany „Stańczyk” wkrótce opuści gmach Muzeum i wyruszy w podróż do Paryża, gdzie będzie eksponowany na wystawie „Figures of the fool"" w Luwrze.

Czujni fani Jana Matejki zauważyli, że gwiazda muzealnych zbiorów pojawiła się na okładce płyty „Harlequin” niejakiej Lady Gagi. Album towarzyszy zbliżającej się premierze filmu „Joker: Folie à Deux"". My oczywiście wiemy, że Joker jest tylko jeden! 

Nie jest to zresztą debiut Stańczyka w popkulturze – przypomnijmy, że wystąpił również w serialu „Co robimy w ukryciu” jako przewodniczący Wampirzej Rady, Paduk Obłąkany.

🃏 „Stańczyk” powróci do nas w lutym. Tymczasem zapraszamy od piątku na wystawę JÓZEF CHEŁMOŃSKI!","243","5001","474"
"2024-09-25T09:13:34.000Z",,"Zaczynamy Chełmoński autumn!

Zobaczcie, jak wyglądały ostatnie przygotowania do wystawy. Już w ten piątek będziecie mogli odwiedzić pierwszą taką wystawę monograficzną Chełmońskiego od lat osiemdziesiątych.

Serdecznie zapraszamy!

Projekt CHEŁMOŃSKI realizowany w latach 2022-2025 przez Muzeum Narodowe w Warszawie, Muzeum Narodowe w Poznaniu i Muzeum Narodowe w Krakowie.

______

1. Józef Chełmoński, „Bociany”, 1900
2. Józef Chełmoński, „Targ na konie w Bałcie”, 1879
3. Józef Chełmoński, „Sobota w folwarku”, 1869
4. Józef Chełmoński, „Zachód słońca zimą”, 1901

#chełmońskiautumn #chełmo #bratsummer #nationalmuseum #mnw #autumn #chelmonski","1","101","12"
"2024-09-24T19:11:20.000Z",,"",,"3","0"
"2024-09-24T06:54:53.000Z",,"🦆 4 DNI DO OTWARCIA WYSTAWY JÓZEF CHEŁMOŃSKI

Dziś Anna Lewandowska z Pracowni Konserwacji opowiada, jak wygląda przygotowanie obrazów przed wystawą monograficzną.

#Konserwacja #JózefChełmoński #wystawa #malarstwo #realizm","1","122","16"
"2024-09-23T19:57:36.000Z","https://tiny.pl/97v9s","🌻 SŁONECZNIKI DLA MUZEUM ZA INICJATYWY SKIEROWANE DO NAJMŁODSZYCH WIDZÓW 🌻

Wielkie gratulacje dla pracowników naszego Działu Edukacji! Ich działania zostały docenione podczas tegorocznej Gali Słoneczniki 2024 – konkursu na najbardziej rozwojową inicjatywę dla dzieci.

🌻 W kategorii przyroda zdobyliśmy nagrodę rodziców za program rodzinny „Muzeum pod lupą, czyli wakacyjni odkrywcy sztuki i przyrody”.

🌻 W kategorii sztuki wizualne otrzymaliśmy nominację za program rodzinny „Oko w oko ze sztuką”.

🌻 W kategorii język otrzymaliśmy nominację za książeczkę dla dzieci „Ćwiczenia na opak. Zeszyt surrealistyczny” towarzyszącą wystawie  „Surrealizm. Inne mity”.

Jeszcze raz gratulujemy muzealnemu Działowi Edukacji, a Was zachęcamy do zapoznania się z naszymi zajęciami dla rodzin: https://tiny.pl/97v9s
___

Na zdjęciu (od lewej): Małgorzata Łobocka – Zastępca Dyrektora ds. Komunikacji i Edukacji, Barbara Kaliciuk – Dział Edukacji, Marta Kochlewska – Dział Edukacji, Marek Płuciniczak – Kierownik Działu Edukacji.","40","231","2"
"2024-09-23T13:50:45.000Z","https://fb.me/e/5Nfg1ypQW","📅 MUZEALNY ROZKŁAD JAZDY 📅

🚨🚨🚨
W dniach 26 i 28 września 2024 Muzeum będzie czynne do godziny 16.00. Za utrudnienia bardzo przepraszamy.

⚠️ Piątek, 27 września startuje JÓZEF CHEŁMOŃSKI | WYSTAWA ⚠️

🔴 Muzeum Narodowe w Warszawie:

🦆 24 września, wtorek / 13:00
Czas na sztukę!  / Stroje młodopolskich dam

🦆 24 września, wtorek / 13:00
Czas na sztukę! / Dawno, dawno temu… w Narodowym!

🦆 25 września, środa / 10:30
Qigong w muzeum

🦆 25 września, środa / 15:30
SZTUKA DLA WNUKA / MIĘDZYPOKOLENIOWE WARSZTATY DLA DZIADKÓW I WNUCZĄT / Psim tropem

🦆 26 września, czwartek / 11:00
Sztuka i ruch. Warsztaty artystyczno-ruchowe  / Przygoda z ołówkiem i kredkami

🦆 27 września, piątek / 11:00
MAMA, TATA W MUZEUM / Obraz dziecka w kulturach starożytnych

🦆27 września, piątek / 16:30
JĘZYK POLSKI PRZEZ SZTUKĘ / ПОЛЬСЬКА МОВА ЧЕРЕЗ МИСТЕЦТВО / Historie w obrazach czasów nowożytnych / Історії із часів модерну 

🦆 27 września, piątek / 18:00
ЕМОЦІЇ В МИСТЕЦТВІ ДЛЯ УКРАЇНИ / EMOCJE W SZTUCE DLA UKRAINY / Wstyd i wina | Емоції в мистецтві / Сором і провина

🦆 28 września, sobota / 11:00
Oprowadzania po Galeriach Stałych MNW / Arcydzieła czyli MNW w pigułce

🦆 28 września, sobota / 12:00
SPOTKANIA RYSUNKOWE / Zielnik | ЗУСТРІЧІ-УРОКИ МАЛЮВАННЯ / Гербарій 

🦆 28 września, sobota / 14:30
MATKI I CÓRKI – RZEMIEŚLNICZKI, PRZYJACIÓŁKI / Nokturn i magiczna moc łapaczy snów 

🦆 28 września, sobota / 17:00
KONCERT NATURCEARE: Zemla / Gryvul / Lange / Smith / Sinfonietta Cracovia / Krych

🦆 29 września, niedziela / 10:15
RODZINNE NIEDZIELE / Zdrowo na sportowo

🦆 29 września, niedziela / 11:00
JÓZEF CHEŁMOŃSKI | Oprowadzanie niedzielne po wystawie

🦆 29 września, niedziela / 13:00
JÓZEF CHEŁMOŃSKI | Oprowadzanie niedzielne po wystawie

🦆 29 września, niedziela / 15:00
JÓZEF CHEŁMOŃSKI | Oprowadzanie niedzielne po wystawie

⬜ Królikarnia - Oddział Muzeum Narodowego w Warszawie:

🐇 28 września, sobota / 11:00
Spacery po Parku Rzeźby
🔗 https://fb.me/e/5Nfg1ypQW

🐇 28 września, sobota / 13:00
Oprowadzania po wystawie „Alina Ślesińska. Szkice przestrzeni”
🔗 https://fb.me/e/5qrdtH3gw

🐇 29 września, niedziela / 12:00
Oprowadzania kuratorskie po wystawie „Alina Ślesińska. Szkice przestrzeni”
🔗 https://fb.me/e/2nF3wcoMG

🟦 Muzeum Wnętrz w Otwocku Wielkim - Oddział Muzeum Narodowego w Warszawie

🦌 29 września, niedziela / 13:00
Z WIZYTĄ NA MAGNACKIM DWORZE / oprowadzanie dla młodzieży i dorosłych
🔗 https://fb.me/e/3ODluUToD

🦌 29 września, niedziela / 15:00
Paderewski: artysta, polityk, kolekcjoner / oprowadzanie dla młodzieży i dorosłych po wystawie „Dar Paderewskiego”
🔗 https://fb.me/e/2pkAOCSi3

_________
Józef Chełmoński, ""Bociany"", 1900
🔗 https://tiny.pl/zrq5kfks","2","142","8"
