"Lewy kontekst","Rezultat","Prawy kontekst","Interpretacja","Nazwa własna","Relacja zależnościowa","Lemat nadrzędnika","Izba","Typ","Autor","Mówca","Przynależność mówcy","Rola mówcy","Płeć mówcy","Komisja","Data","Timestamp","Rok","Ustrój","Numer kadencji","Etykieta","Tytuł","Sesja","Dzień","Numer","Część"
"śmy wstępną umowę z Instituto Luce o wspólnej rewitalizacji i"," digitalizacji"," archiwów filmowych. Ten projekt będzie realizowany przy pomocy środków","[digitalizacja:subst:sg:loc:f]","_","conjunct","i","Sejm","Komisja","","Agnieszka Odorowicz","_","Dyrektor PISF","kobieta","Komisja Kultury i Środków Przekazu (29)","2006-04-27","1146096000","2006","III RP","5","200507-sjm-kspxx-00029-01","Komisja Kultury i Środków Przekazu /nr 29/","29","","","1"
" sytuacji informatyzacyjnej. W małym stopniu odnosi się do problemu"," digitalizacji"," zbiorów i ich upubliczniania za pomocą środków elektronicznych. Wydaje","[digitalizacja:subst:sg:gen:f]","_","conjunct","i","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (75)","2007-05-10","1178755200","2007","III RP","5","200507-sjm-kspxx-00075-01","Komisja Kultury i Środków Przekazu /nr 75/","75","","","1"
" środki na rozwój infrastruktury, dostępu do informacji i na"," digitalizację"," zbiorów. Największe wsparcie otrzymały projekty dotyczące rozbudowy infrastruktury kultury","[digitalizacja:subst:sg:acc:f]","_","comp","na","Sejm","Komisja","","Monika Smoleń","_","Departamentu Strategii Kultury i Spraw Europejskich w MKiDN","kobieta","Komisja Kultury i Środków Przekazu (21)","2006-02-23","1140652800","2006","III RP","5","200507-sjm-kspxx-00021-01","Komisja Kultury i Środków Przekazu /nr 21/","21","","","1"
" zakup sprzętu na potrzeby ewidencji systemów informatycznych, na infrastrukturę"," digitalizacji"," zasobów Polskiej Biblioteki Internetowej oraz na zakup sprzętu i oprogramowania","[digitalizacja:subst:sg:gen:f]","_","comp","infrastruktura","Sejm","Komisja","","Jarosław Zieliński","Klub Parlamentarny Prawo i Sprawiedliwość","Sekretarz stanu w MSWiA","mężczyzna","Komisja Spraw Wewnętrznych (63)","2006-10-25","1161734400","2006","III RP","5","200507-sjm-aswxx-00063-01","Komisja Administracji i Spraw Wewnętrznych /nr 63/","63","","","1"
". Z radością należy powitać inicjatywę dotyczącą budowy infrastruktury służącej"," digitalizacji"," zasobów Polskiej Biblioteki Internetowej. Przypomnę, że w budżecie","[digitalizacja:subst:sg:dat:f]","_","obj_th","służyć","Sejm","Komisja","","Kazimierz Plocke","Klub Parlamentarny Platforma Obywatelska","Poseł","mężczyzna","Komisja Spraw Wewnętrznych (63)","2006-10-25","1161734400","2006","III RP","5","200507-sjm-aswxx-00063-01","Komisja Administracji i Spraw Wewnętrznych /nr 63/","63","","","1"
" ten cel 1 mln zł. Jaki jest obecny stan"," digitalizacji"," zasobów Polskiej Biblioteki Internetowej? Jaki jest stan zaawansowania tego","[digitalizacja:subst:sg:gen:f]","_","comp","stan","Sejm","Komisja","","Kazimierz Plocke","Klub Parlamentarny Platforma Obywatelska","Poseł","mężczyzna","Komisja Spraw Wewnętrznych (63)","2006-10-25","1161734400","2006","III RP","5","200507-sjm-aswxx-00063-01","Komisja Administracji i Spraw Wewnętrznych /nr 63/","63","","","1"
" o tym, że 1 mln zł przeznaczony zostanie na"," digitalizację"," zasobów Polskiej Biblioteki Internetowej. W wyniku tych działań nastąpi","[digitalizacja:subst:sg:acc:f]","_","comp","na","Sejm","Komisja","","Edward Seliga","_","Zastępca dyrektora Departamentu Informatyzacji MSWiA","mężczyzna","Komisja Spraw Wewnętrznych (63)","2006-10-25","1161734400","2006","III RP","5","200507-sjm-aswxx-00063-01","Komisja Administracji i Spraw Wewnętrznych /nr 63/","63","","","1"
" fantastycznego korzystając z efektów pracy Biblioteki Narodowej, która dobrze"," digitalizuje"," przede wszystkim rzeczy najstarsze, ale także te, które","[digitalizować:fin:sg:ter:imperf]","_","adjunct_rc","efekt","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister kultury i dziedzictwa narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
"Biblioteka +” z Funduszu Gatesa i tam też będziemy wykorzystywać"," digitalizację"," po to, aby zbudować możliwość korzystania z Internetu właśnie","[digitalizacja:subst:sg:acc:f]","_","obj","wykorzystywać","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister kultury i dziedzictwa narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
" Masłowska i wszystkie utwory dobrze piszących autorów żyjących. Sprawa"," digitalizacji",". Są dodatkowe środki na ten cel. 5 mln","[digitalizacja:subst:sg:gen:f]","_","comp","sprawa","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister kultury i dziedzictwa narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
" innego archiwum państwowe, choć np. wszyscy archiwizują,"," digitalizują"," zdjęcia. Mało kto wie, że największy zasób jest","[digitalizować:fin:pl:ter:imperf]","_","conjunct",",","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister kultury i dziedzictwa narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
". Przeznaczymy na to ponad 1 mln zł. Będzie"," digitalizowanych"," około 100–150 tysięcy zdjęć rocznie. Takie będzie","[digitalizować:ppas:pl:gen:m3:imperf:aff]","_","adjunct","zdjęcie","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister kultury i dziedzictwa narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
" marginesie. Często słyszę ton zniecierpliwienia, gdy mówimy o"," digitalizacji"," zbiorów. Słyszę, że te programy wolno się rozwijają","[digitalizacja:subst:sg:loc:f]","_","comp","o","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
" w Internecie, są znacznie starsze. Ostatnia kwestia –"," digitalizacja"," zdjęć. Nie jest tak, że tak mało jest","[digitalizacja:subst:sg:nom:f]","_","app","kwestia","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
" zdjęć. Nie jest tak, że tak mało jest"," digitalizowanych"," zdjęć, bo w Polsce jest za mało pieniędzy na","[digitalizować:ppas:pl:gen:n:imperf:aff]","_","adjunct","zdjęcie","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
" zdjęć, bo w Polsce jest za mało pieniędzy na"," digitalizację",". Trzeba sobie zdawać sprawę z tego, że digitalizacja","[digitalizacja:subst:sg:acc:f]","_","comp","na","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
" digitalizację. Trzeba sobie zdawać sprawę z tego, że"," digitalizacja"," zdjęć to przede wszystkim dramatycznie trudny problem nie wykonania skanu","[digitalizacja:subst:sg:nom:f]","_","pd","to","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
" skomplikowane rzeczy. Nie mamy poczucia, że w zakresie"," digitalizacji"," Polska jest jakimś liderem na świecie, ale nie wpadajmy","[digitalizacja:subst:sg:gen:f]","_","comp","zakres","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (44)","2008-10-22","1224633600","2008","III RP","6","200711-sjm-kspxx-00044-01","Komisja Kultury i Środków Przekazu /nr 44/","44","","","1"
" szkołach ponadpodstawowych. Dodam, że ten pakiet dalej będziemy"," digitalizować",". W „Filmotece szkolnej” nie ma np.","[digitalizować:inf:imperf]","_","comp_fin","że","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister kultury i dziedzictwa narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (57)","2009-01-21","1232496000","2009","III RP","6","200711-sjm-kspxx-00057-01","Komisja Kultury i Środków Przekazu /nr 57/","57","","","1"
" dyrektor Makowski mówił o tym, że bardzo wiele bibliotek"," digitalizuje"," najcenniejsze zbiory, by były w domenie publicznej by osoba","[digitalizować:fin:sg:ter:imperf]","_","comp_fin","że","Sejm","Komisja","","Elżbieta Stefańczyk","_","Przewodnicząca SBP","kobieta","Komisja Kultury i Środków Przekazu (38)","2008-07-24","1216857600","2008","III RP","6","200711-sjm-kspxx-00038-01","Komisja Kultury i Środków Przekazu /nr 38/","38","","","1"
". Pan poseł Ross podniósł bardzo ważną dla mnie kwestię"," digitalizacji",", udostępnienia zasobu cyfrowego. Przywołam tutaj ostatnie badania.","[digitalizacja:subst:sg:gen:f]","_","conjunct",",","Sejm","Komisja","","Tomasz Makowski","_","Dyrektor BN w Warszawie","mężczyzna","Komisja Kultury i Środków Przekazu (38)","2008-07-24","1216857600","2008","III RP","6","200711-sjm-kspxx-00038-01","Komisja Kultury i Środków Przekazu /nr 38/","38","","","1"
"a, gdzie jest mowa o środkach przeznaczonych na finansowanie"," digitalizacji",", archiwizacji, eksploatacji? Te środki również powinny być","[digitalizacja:subst:sg:gen:f]","_","conjunct",",","Sejm","Komisja","","Wojciech Nowicki","_","Dyrektor Biura KRRiT","mężczyzna","Komisja Kultury i Środków Przekazu (72)","2009-05-13","1242172800","2009","III RP","6","200711-sjm-kspxx-00072-01","Komisja Kultury i Środków Przekazu /nr 72/","72","","","1"
" pierwszy w 2009 roku realizujemy ogromną liczbę projektów z zakresu"," digitalizacji",", cyfryzacji. Są to projekty, które zostały ulokowane","[digitalizacja:subst:sg:gen:f]","_","conjunct",",","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
"m państwu pokazać, jaka jest skala tych projektów."," Digitalizując"," swoje niezwykle cenne śląskie zbiory Biblioteka Śląska jednocześnie uruchomiła program","[digitalizować:pcon:imperf]","_","adjunct","uruchomić","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
